iter	Passed	Remaining
0	0	739
1	1	651
2	1	610
3	2	599
4	3	614
5	3	599
6	4	616
7	4	613
8	5	613
9	6	605
10	6	596
11	7	590
12	7	583
13	8	579
14	8	576
15	9	575
16	9	576
17	10	581
18	11	578
19	11	577
20	12	577
21	12	574
22	13	573
23	14	571
24	14	569
25	15	570
26	15	569
27	16	567
28	16	567
29	17	567
30	18	567
31	18	565
32	19	565
33	19	564
34	20	563
35	20	562
36	21	560
37	22	558
38	22	556
39	23	556
40	23	557
41	24	556
42	24	555
43	25	554
44	26	552
45	26	551
46	27	549
47	27	548
48	28	547
49	28	546
50	29	544
51	29	544
52	30	543
53	30	541
54	31	540
55	32	539
56	32	538
57	33	536
58	33	535
59	34	534
60	34	534
61	35	533
62	35	532
63	36	533
64	37	533
65	37	532
66	38	531
67	38	530
68	39	529
69	39	527
70	40	526
71	40	525
72	41	524
73	42	526
74	42	528
75	43	528
76	43	527
77	44	525
78	45	524
79	45	523
80	46	522
81	46	522
82	46	518
83	47	517
84	48	517
85	48	516
86	49	516
87	49	515
88	50	514
89	50	514
90	51	513
91	52	513
92	52	512
93	53	511
94	53	510
95	54	510
96	54	509
97	55	508
98	55	507
99	56	506
100	56	505
101	57	505
102	57	504
103	58	503
104	59	502
105	59	502
106	60	501
107	60	501
108	61	502
109	61	501
110	62	500
111	63	499
112	63	498
113	64	497
114	64	496
115	65	496
116	65	494
117	65	493
118	66	492
119	67	492
120	67	491
121	68	489
122	68	488
123	69	487
124	69	486
125	70	485
126	70	484
127	70	483
128	71	483
129	72	482
130	72	481
131	73	481
132	73	480
133	74	480
134	74	479
135	75	478
136	75	477
137	76	476
138	76	475
139	77	475
140	77	474
141	78	472
142	78	472
143	79	471
144	79	471
145	80	470
146	80	469
147	81	468
148	81	467
149	82	466
150	82	466
151	83	465
152	83	464
153	84	463
154	84	462
155	85	461
156	85	461
157	86	460
158	86	459
159	87	458
160	87	457
161	88	456
162	88	455
163	89	454
164	89	453
165	90	453
166	90	452
167	91	451
168	91	451
169	92	451
170	93	451
171	93	450
172	94	449
173	94	449
174	95	448
175	95	447
176	96	447
177	96	446
178	97	446
179	98	447
180	98	447
181	99	446
182	99	445
183	100	445
184	100	444
185	101	443
186	101	442
187	102	442
188	102	441
189	103	440
190	104	441
191	104	440
192	105	440
193	105	439
194	106	438
195	106	438
196	107	437
197	107	436
198	108	436
199	108	435
200	109	434
201	109	433
202	110	433
203	110	432
204	111	432
205	112	431
206	112	431
207	113	430
208	113	430
209	114	429
210	114	429
211	115	428
212	115	427
213	116	427
214	117	427
215	117	426
216	118	426
217	118	425
218	119	424
219	119	424
220	120	425
221	121	425
222	121	424
223	122	423
224	122	423
225	123	423
226	124	422
227	124	422
228	125	421
229	125	420
230	126	420
231	126	419
232	127	418
233	127	417
234	128	417
235	128	416
236	129	416
237	129	415
238	130	414
239	130	414
240	131	413
241	131	412
242	132	412
243	132	411
244	133	411
245	133	410
246	134	409
247	134	409
248	135	408
249	136	408
250	136	407
251	137	406
252	137	406
253	138	405
254	138	404
255	139	404
256	139	403
257	140	403
258	140	402
259	141	402
260	141	401
261	142	400
262	142	400
263	143	399
264	143	398
265	144	398
266	144	397
267	145	397
268	145	396
269	146	395
270	146	395
271	147	394
272	147	394
273	148	393
274	149	393
275	149	392
276	150	391
277	150	391
278	151	390
279	151	390
280	152	389
281	152	389
282	153	388
283	153	387
284	154	387
285	155	387
286	155	386
287	156	385
288	156	385
289	157	384
290	157	383
291	158	383
292	158	382
293	159	382
294	159	381
295	160	380
296	160	380
297	161	379
298	161	379
299	162	378
300	162	377
301	163	377
302	163	376
303	164	376
304	164	375
305	165	374
306	165	373
307	166	373
308	166	373
309	167	372
310	167	371
311	168	371
312	168	370
313	169	370
314	169	369
315	170	368
316	170	368
